# x	y	u	v	mask
  1.7406	  4.7866	     nan	     nan	  1.0000
  1.8131	  4.7866	     nan	     nan	  1.0000
  1.8856	  4.7866	     nan	     nan	  1.0000
  1.9581	  4.7866	     nan	     nan	  1.0000
  2.0307	  4.7866	     nan	     nan	  1.0000
  2.1032	  4.7866	     nan	     nan	  1.0000
  2.1757	  4.7866	     nan	     nan	  1.0000
  2.2482	  4.7866	     nan	     nan	  1.0000
  2.3208	  4.7866	     nan	     nan	  1.0000
  2.3933	  4.7866	     nan	     nan	  1.0000
  2.4658	  4.7866	     nan	     nan	  1.0000
  2.5383	  4.7866	     nan	     nan	  1.0000
  2.6109	  4.7866	     nan	     nan	  1.0000
  2.6834	  4.7866	     nan	     nan	  1.0000
  2.7559	  4.7866	     nan	     nan	  1.0000
  2.8284	  4.7866	     nan	     nan	  1.0000
  2.9010	  4.7866	     nan	     nan	  1.0000
  2.9735	  4.7866	     nan	     nan	  1.0000
  3.0460	  4.7866	     nan	     nan	  1.0000
  3.1185	  4.7866	     nan	     nan	  1.0000
  3.1910	  4.7866	     nan	     nan	  1.0000
  3.2636	  4.7866	     nan	     nan	  1.0000
  3.3361	  4.7866	     nan	     nan	  1.0000
  3.4086	  4.7866	     nan	     nan	  1.0000
  3.4811	  4.7866	     nan	     nan	  1.0000
  3.5537	  4.7866	     nan	     nan	  1.0000
  3.6262	  4.7866	     nan	     nan	  1.0000
  3.6987	  4.7866	     nan	     nan	  1.0000
  3.7712	  4.7866	     nan	     nan	  1.0000
  3.8438	  4.7866	     nan	     nan	  1.0000
  3.9163	  4.7866	     nan	     nan	  1.0000
  3.9888	  4.7866	     nan	     nan	  1.0000
  4.0613	  4.7866	     nan	     nan	  1.0000
  4.1339	  4.7866	     nan	     nan	  1.0000
  4.2064	  4.7866	     nan	     nan	  1.0000
  4.2789	  4.7866	     nan	     nan	  1.0000
  4.3514	  4.7866	     nan	     nan	  1.0000
  4.4240	  4.7866	     nan	     nan	  1.0000
  4.4965	  4.7866	     nan	     nan	  1.0000
  4.5690	  4.7866	     nan	     nan	  1.0000
  4.6415	  4.7866	     nan	     nan	  1.0000
  4.7140	  4.7866	     nan	     nan	  1.0000
  4.7866	  4.7866	     nan	     nan	  1.0000
  4.8591	  4.7866	     nan	     nan	  1.0000
  4.9316	  4.7866	     nan	     nan	  1.0000
  5.0041	  4.7866	     nan	     nan	  1.0000
  5.0767	  4.7866	     nan	     nan	  1.0000
  5.1492	  4.7866	     nan	     nan	  1.0000
  5.2217	  4.7866	     nan	     nan	  1.0000
  0.0725	  4.7140	     nan	     nan	  1.0000
  0.1450	  4.7140	     nan	     nan	  1.0000
  0.2176	  4.7140	     nan	     nan	  1.0000
  0.2901	  4.7140	     nan	     nan	  1.0000
  0.3626	  4.7140	     nan	     nan	  1.0000
  0.4351	  4.7140	     nan	     nan	  1.0000
  0.5077	  4.7140	     nan	     nan	  1.0000
  0.5802	  4.7140	     nan	     nan	  1.0000
  0.6527	  4.7140	     nan	     nan	  1.0000
  0.7252	  4.7140	     nan	     nan	  1.0000
  0.7978	  4.7140	     nan	     nan	  1.0000
  0.8703	  4.7140	     nan	     nan	  1.0000
  0.9428	  4.7140	     nan	     nan	  1.0000
  1.0153	  4.7140	     nan	     nan	  1.0000
  1.0879	  4.7140	     nan	     nan	  1.0000
  1.1604	  4.7140	     nan	     nan	  1.0000
  1.2329	  4.7140	     nan	     nan	  1.0000
  1.3054	  4.7140	     nan	     nan	  1.0000
  1.3780	  4.7140	     nan	     nan	  1.0000
  1.4505	  4.7140	     nan	     nan	  1.0000
  1.5230	  4.7140	     nan	     nan	  1.0000
  1.5955	  4.7140	     nan	     nan	  1.0000
  1.6680	  4.7140	     nan	     nan	  1.0000
  1.7406	  4.7140	     nan	     nan	  1.0000
  1.8131	  4.7140	     nan	     nan	  1.0000
  1.8856	  4.7140	     nan	     nan	  1.0000
  1.9581	  4.7140	     nan	     nan	  1.0000
  2.0307	  4.7140	     nan	     nan	  1.0000
  2.1032	  4.7140	     nan	     nan	  1.0000
  2.1757	  4.7140	     nan	     nan	  1.0000
  2.2482	  4.7140	     nan	     nan	  1.0000
  2.3208	  4.7140	     nan	     nan	  1.0000
